Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
124,Rice University,https://www.timeshighereducation.com/world-university-rankings/rice-university,United States,6805,9.2,0.28,42 : 58,2021
126,City University of Hong Kong,https://www.timeshighereducation.com/world-university-rankings/city-university-hong-kong,Hong Kong,9510,10.8,0.51,54 : 46,2021
127,University of Oslo,https://www.timeshighereducation.com/world-university-rankings/university-oslo,Norway,20737,12.2,0.17,62 : 38,2021
127,University of Southampton,https://www.timeshighereducation.com/world-university-rankings/university-southampton,United Kingdom,23498,14.3,0.35,53 : 47,2021
129,Hong Kong Polytechnic University,https://www.timeshighereducation.com/world-university-rankings/hong-kong-polytechnic-university,Hong Kong,22778,25.4,0.27,51 : 49,2021
130,University of Göttingen,https://www.timeshighereducation.com/world-university-rankings/university-gottingen,Germany,30894,28,0.13,51 : 49,2021
131,University of Alberta,https://www.timeshighereducation.com/world-university-rankings/university-alberta,Canada,32846,21.5,0.27,55 : 45,2021
131,University of Colorado Boulder,https://www.timeshighereducation.com/world-university-rankings/university-colorado-boulder,United States,34481,16.1,0.11,44 : 56,2021
133,University of Pittsburgh-Pittsburgh campus,https://www.timeshighereducation.com/world-university-rankings/university-pittsburgh-pittsburgh-campus,United States,26761,5.7,0.11,53 : 47,2021
133,University of York,https://www.timeshighereducation.com/world-university-rankings/university-york,United Kingdom,16881,15,0.25,57 : 43,2021
135,University of Hamburg,https://www.timeshighereducation.com/world-university-rankings/university-hamburg,Germany,30649,58.7,0.12,57 : 43,2021
136,Lancaster University,https://www.timeshighereducation.com/world-university-rankings/lancaster-university,United Kingdom,13047,12.4,0.37,51 : 49,2021
136,University of Paris,https://www.timeshighereducation.com/world-university-rankings/university-paris,France,63219,17.7,0.18,64 : 36,2021
136,Radboud University Nijmegen,https://www.timeshighereducation.com/world-university-rankings/radboud-university-nijmegen,Netherlands,20752,17.3,0.16,57 : 43,2021
139,The University of Western Australia,https://www.timeshighereducation.com/world-university-rankings/university-western-australia,Australia,18253,22.5,0.29,48 : 52,2021
140,Indiana University,https://www.timeshighereducation.com/world-university-rankings/indiana-university,United States,67054,15,0.15,51 : 49,2021
140,University of Mannheim,https://www.timeshighereducation.com/world-university-rankings/university-mannheim,Germany,10593,78.3,0.18,n/a,2021
140,Technical University of Berlin,https://www.timeshighereducation.com/world-university-rankings/technical-university-berlin,Germany,22695,60.8,0.26,34 : 66,2021
140,Ulm University,https://www.timeshighereducation.com/world-university-rankings/ulm-university,Germany,10503,28.4,0.13,49 : 51,2021
140,University of Würzburg,https://www.timeshighereducation.com/world-university-rankings/university-wurzburg,Germany,23887,38.2,0.1,56 : 44,2021
145,University of Cologne,https://www.timeshighereducation.com/world-university-rankings/university-cologne-0,Germany,34630,35,0.18,n/a,2021
145,University of Ottawa,https://www.timeshighereducation.com/world-university-rankings/university-ottawa,Canada,35140,24.6,0.2,58 : 42,2021
147,University of Auckland,https://www.timeshighereducation.com/world-university-rankings/university-auckland,New Zealand,32596,22.6,0.31,56 : 44,2021
